Episode_ID,Asset_ID,Status_Type,Alarm_Type,Duration_Hours,Start_Time,End_Time,Primary_Department,Responsible_Team,Original_Fault_Type
21,0.0,5.0,Emergency Brake Activation,4.83,2018-01-07 07:00:00,2018-01-07 11:50:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
22,0.0,5.0,Grid Frequency Deviation,0.0,2018-01-08 09:50:00,2018-01-08 09:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
23,0.0,5.0,Momentary Grid Loss,1.17,2018-01-08 20:30:00,2018-01-08 21:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
24,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-01-10 16:20:00,2018-01-10 16:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
25,0.0,5.0,Extended Grid Outage,18.33,2018-01-10 17:30:00,2018-01-11 11:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
26,0.0,5.0,Momentary Grid Loss,1.67,2018-01-11 22:20:00,2018-01-12 00:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
27,0.0,5.0,Grid Voltage Fluctuation,1.5,2018-01-12 01:20:00,2018-01-12 02:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
28,0.0,5.0,Grid Frequency Deviation,0.33,2018-01-12 03:50:00,2018-01-12 04:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
29,0.0,5.0,Momentary Grid Loss,0.5,2018-01-13 08:10:00,2018-01-13 08:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
30,0.0,5.0,Grid Voltage Fluctuation,1.83,2018-01-13 10:50:00,2018-01-13 12:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
31,0.0,5.0,Extended Grid Outage,6.17,2018-01-13 16:50:00,2018-01-13 23:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
32,0.0,5.0,Safety System Activation,3.83,2018-01-14 00:50:00,2018-01-14 04:40:00,Electrical - Emergency Response,Emergency Response Team,Unknown
33,0.0,5.0,Extended Grid Outage,12.67,2018-01-14 19:50:00,2018-01-15 08:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
34,0.0,5.0,Grid Frequency Deviation,0.0,2018-01-15 10:30:00,2018-01-15 10:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
35,0.0,5.0,Momentary Grid Loss,0.5,2018-01-15 11:40:00,2018-01-15 12:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
36,0.0,5.0,Main Controller Fault,7.17,2018-01-16 21:40:00,2018-01-17 04:50:00,Software & Controls,SCADA & Controls Team,Unknown
37,0.0,5.0,Extended Grid Outage,5.67,2018-01-17 08:10:00,2018-01-17 13:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
38,0.0,5.0,Momentary Grid Loss,0.0,2018-01-17 15:20:00,2018-01-17 15:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
39,0.0,5.0,Extended Grid Outage,5.17,2018-01-17 18:40:00,2018-01-17 23:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
40,0.0,5.0,Main Controller Fault,5.67,2018-01-18 00:50:00,2018-01-18 06:30:00,Software & Controls,SCADA & Controls Team,Unknown
41,0.0,5.0,Safety System Activation,3.17,2018-01-18 13:10:00,2018-01-18 16:20:00,Electrical - Emergency Response,Emergency Response Team,Unknown
42,0.0,5.0,Grid Voltage Fluctuation,0.5,2018-01-18 18:00:00,2018-01-18 18:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
43,0.0,5.0,Extended Grid Outage,6.5,2018-01-18 22:10:00,2018-01-19 04:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
44,0.0,5.0,Momentary Grid Loss,1.17,2018-01-19 10:20:00,2018-01-19 11:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
45,0.0,5.0,Extended Grid Outage,10.0,2018-01-19 12:50:00,2018-01-19 22:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
46,0.0,5.0,Grid Frequency Deviation,1.17,2018-01-19 23:50:00,2018-01-20 01:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
47,0.0,5.0,Safety System Activation,2.0,2018-01-20 04:10:00,2018-01-20 06:10:00,Electrical - Emergency Response,Emergency Response Team,Unknown
48,0.0,5.0,Main Controller Fault,5.33,2018-01-20 07:40:00,2018-01-20 13:00:00,Software & Controls,SCADA & Controls Team,Unknown
49,0.0,5.0,Overspeed Protection Triggered,4.17,2018-01-20 14:20:00,2018-01-20 18:30:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
50,0.0,5.0,Main Controller Fault,13.5,2018-01-20 23:30:00,2018-01-21 13:00:00,Software & Controls,SCADA & Controls Team,Unknown
51,0.0,5.0,Emergency Brake Activation,2.67,2018-01-21 14:20:00,2018-01-21 17:00:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
52,0.0,5.0,Grid Frequency Deviation,0.0,2018-01-22 21:30:00,2018-01-22 21:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
53,0.0,5.0,Momentary Grid Loss,0.33,2018-01-23 04:40:00,2018-01-23 05:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
54,0.0,5.0,Grid Voltage Fluctuation,0.17,2018-01-24 10:40:00,2018-01-24 10:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
55,0.0,5.0,Grid Frequency Deviation,0.0,2018-01-24 15:20:00,2018-01-24 15:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
56,0.0,5.0,Main Controller Fault,9.5,2018-01-24 18:20:00,2018-01-25 03:50:00,Software & Controls,SCADA & Controls Team,Unknown
57,0.0,5.0,Grid Voltage Fluctuation,1.0,2018-01-25 05:20:00,2018-01-25 06:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
58,0.0,5.0,Grid Frequency Deviation,1.0,2018-01-25 07:40:00,2018-01-25 08:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
59,0.0,5.0,Momentary Grid Loss,1.5,2018-01-25 12:10:00,2018-01-25 13:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
60,0.0,5.0,Grid Voltage Fluctuation,0.5,2018-01-25 16:40:00,2018-01-25 17:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
61,0.0,5.0,Grid Frequency Deviation,0.67,2018-01-25 20:40:00,2018-01-25 21:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
62,0.0,5.0,Momentary Grid Loss,0.0,2018-01-26 01:50:00,2018-01-26 01:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
63,0.0,5.0,Grid Voltage Fluctuation,0.33,2018-01-26 03:00:00,2018-01-26 03:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
64,0.0,5.0,Main Controller Fault,25.67,2018-01-26 07:40:00,2018-01-27 09:20:00,Software & Controls,SCADA & Controls Team,Unknown
65,0.0,5.0,Extended Grid Outage,5.33,2018-01-27 11:10:00,2018-01-27 16:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
66,0.0,5.0,Main Controller Fault,13.17,2018-01-27 17:30:00,2018-01-28 06:40:00,Software & Controls,SCADA & Controls Team,Unknown
67,0.0,5.0,Overspeed Protection Triggered,2.83,2018-01-28 07:40:00,2018-01-28 10:30:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
68,0.0,5.0,Safety System Activation,2.83,2018-01-28 13:50:00,2018-01-28 16:40:00,Electrical - Emergency Response,Emergency Response Team,Unknown
69,0.0,5.0,Grid Voltage Fluctuation,1.17,2018-01-28 18:40:00,2018-01-28 19:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
70,0.0,5.0,Overspeed Protection Triggered,2.0,2018-01-28 20:50:00,2018-01-28 22:50:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
71,0.0,5.0,Momentary Grid Loss,1.0,2018-01-29 00:10:00,2018-01-29 01:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
72,0.0,5.0,Main Controller Fault,10.33,2018-01-29 02:40:00,2018-01-29 13:00:00,Software & Controls,SCADA & Controls Team,Unknown
73,0.0,5.0,Extended Grid Outage,5.0,2018-01-29 14:00:00,2018-01-29 19:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
74,0.0,5.0,Safety System Activation,4.83,2018-01-29 20:20:00,2018-01-30 01:10:00,Electrical - Emergency Response,Emergency Response Team,Unknown
75,0.0,5.0,Emergency Brake Activation,2.0,2018-01-30 02:20:00,2018-01-30 04:20:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
76,0.0,5.0,Grid Frequency Deviation,1.0,2018-01-30 06:00:00,2018-01-30 07:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
77,0.0,5.0,Safety System Activation,4.83,2018-01-30 08:30:00,2018-01-30 13:20:00,Electrical - Emergency Response,Emergency Response Team,Unknown
78,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-01-30 18:50:00,2018-01-30 18:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
79,0.0,5.0,Extended Grid Outage,5.33,2018-01-30 20:00:00,2018-01-31 01:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
80,0.0,5.0,Momentary Grid Loss,1.83,2018-01-31 02:20:00,2018-01-31 04:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
81,0.0,5.0,Grid Voltage Fluctuation,0.83,2018-01-31 06:20:00,2018-01-31 07:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
82,0.0,5.0,Main Controller Fault,6.5,2018-01-31 10:40:00,2018-01-31 17:10:00,Software & Controls,SCADA & Controls Team,Unknown
83,0.0,5.0,Momentary Grid Loss,0.67,2018-01-31 18:20:00,2018-01-31 19:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
84,0.0,5.0,Grid Voltage Fluctuation,1.33,2018-01-31 20:10:00,2018-01-31 21:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
85,0.0,5.0,Grid Frequency Deviation,0.67,2018-02-01 01:00:00,2018-02-01 01:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
86,0.0,5.0,Momentary Grid Loss,0.0,2018-02-01 05:20:00,2018-02-01 05:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
87,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-02-01 07:10:00,2018-02-01 07:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
88,0.0,5.0,Overspeed Protection Triggered,4.33,2018-02-01 09:30:00,2018-02-01 13:50:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
89,0.0,5.0,Extended Grid Outage,5.67,2018-02-01 16:00:00,2018-02-01 21:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
90,0.0,5.0,Emergency Brake Activation,4.83,2018-02-01 22:40:00,2018-02-02 03:30:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
91,0.0,5.0,Grid Frequency Deviation,1.17,2018-02-02 06:30:00,2018-02-02 07:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
92,0.0,5.0,Momentary Grid Loss,0.0,2018-02-02 13:20:00,2018-02-02 13:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
93,0.0,5.0,Extended Grid Outage,6.83,2018-02-02 14:20:00,2018-02-02 21:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
94,0.0,5.0,Overspeed Protection Triggered,4.67,2018-02-05 05:20:00,2018-02-05 10:00:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
95,0.0,5.0,Extended Grid Outage,5.67,2018-02-06 22:10:00,2018-02-07 03:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
96,0.0,5.0,Main Controller Fault,5.83,2018-02-07 05:20:00,2018-02-07 11:10:00,Software & Controls,SCADA & Controls Team,Unknown
97,0.0,5.0,Grid Frequency Deviation,0.33,2018-02-07 12:40:00,2018-02-07 13:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
98,0.0,5.0,Momentary Grid Loss,1.17,2018-02-07 21:30:00,2018-02-07 22:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
99,0.0,5.0,Grid Voltage Fluctuation,0.67,2018-02-08 01:40:00,2018-02-08 02:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
100,0.0,5.0,Overspeed Protection Triggered,2.17,2018-02-08 04:30:00,2018-02-08 06:40:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
101,0.0,5.0,Safety System Activation,2.33,2018-02-08 08:50:00,2018-02-08 11:10:00,Electrical - Emergency Response,Emergency Response Team,Unknown
102,0.0,5.0,Grid Voltage Fluctuation,0.5,2018-02-11 03:20:00,2018-02-11 03:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
103,0.0,5.0,Grid Frequency Deviation,0.0,2018-02-11 05:00:00,2018-02-11 05:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
104,0.0,5.0,Safety System Activation,2.5,2018-02-11 08:10:00,2018-02-11 10:40:00,Electrical - Emergency Response,Emergency Response Team,Unknown
105,0.0,5.0,Grid Voltage Fluctuation,0.33,2018-02-14 16:50:00,2018-02-14 17:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
106,0.0,5.0,Grid Frequency Deviation,0.17,2018-02-14 21:50:00,2018-02-14 22:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
107,0.0,5.0,Momentary Grid Loss,0.0,2018-02-14 23:00:00,2018-02-14 23:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
108,0.0,5.0,Grid Voltage Fluctuation,0.67,2018-02-15 21:40:00,2018-02-15 22:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
109,0.0,5.0,Overspeed Protection Triggered,4.0,2018-02-16 00:30:00,2018-02-16 04:30:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
110,0.0,5.0,Safety System Activation,3.5,2018-02-16 05:30:00,2018-02-16 09:00:00,Electrical - Emergency Response,Emergency Response Team,Unknown
111,0.0,5.0,Grid Voltage Fluctuation,0.83,2018-02-16 10:00:00,2018-02-16 10:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
112,0.0,5.0,Grid Frequency Deviation,0.67,2018-02-16 12:00:00,2018-02-16 12:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
113,0.0,5.0,Safety System Activation,3.0,2018-02-16 18:10:00,2018-02-16 21:10:00,Electrical - Emergency Response,Emergency Response Team,Unknown
114,0.0,5.0,Grid Voltage Fluctuation,0.33,2018-02-17 07:30:00,2018-02-17 07:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
115,0.0,5.0,Grid Frequency Deviation,1.17,2018-02-17 09:30:00,2018-02-17 10:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
116,0.0,5.0,Momentary Grid Loss,0.5,2018-02-17 16:50:00,2018-02-17 17:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
117,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-02-17 19:50:00,2018-02-17 19:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
118,0.0,5.0,Grid Frequency Deviation,0.67,2018-02-17 21:30:00,2018-02-17 22:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
119,0.0,5.0,Momentary Grid Loss,0.17,2018-02-18 00:00:00,2018-02-18 00:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
120,0.0,5.0,Emergency Brake Activation,2.83,2018-02-18 01:20:00,2018-02-18 04:10:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
121,0.0,5.0,Grid Frequency Deviation,0.33,2018-02-18 05:20:00,2018-02-18 05:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
122,0.0,5.0,Momentary Grid Loss,0.0,2018-02-18 07:10:00,2018-02-18 07:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
123,0.0,5.0,Grid Voltage Fluctuation,1.83,2018-02-21 04:50:00,2018-02-21 06:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
124,0.0,5.0,Grid Frequency Deviation,1.17,2018-02-21 08:00:00,2018-02-21 09:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
125,0.0,5.0,Safety System Activation,2.83,2018-02-21 10:30:00,2018-02-21 13:20:00,Electrical - Emergency Response,Emergency Response Team,Unknown
126,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-02-21 14:20:00,2018-02-21 14:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
127,0.0,5.0,Grid Frequency Deviation,1.33,2018-02-21 19:00:00,2018-02-21 20:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
128,0.0,5.0,Momentary Grid Loss,0.67,2018-02-21 21:30:00,2018-02-21 22:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
129,0.0,5.0,Extended Grid Outage,11.5,2018-02-21 23:10:00,2018-02-22 10:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
130,0.0,5.0,Grid Frequency Deviation,0.67,2018-02-22 12:50:00,2018-02-22 13:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
131,0.0,5.0,Momentary Grid Loss,0.5,2018-02-22 19:10:00,2018-02-22 19:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
132,0.0,5.0,Grid Voltage Fluctuation,1.33,2018-02-22 20:40:00,2018-02-22 22:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
133,0.0,5.0,Grid Frequency Deviation,0.0,2018-02-22 23:10:00,2018-02-22 23:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
134,0.0,5.0,Safety System Activation,2.33,2018-02-23 01:10:00,2018-02-23 03:30:00,Electrical - Emergency Response,Emergency Response Team,Unknown
135,0.0,5.0,Grid Voltage Fluctuation,0.83,2018-02-23 04:30:00,2018-02-23 05:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
136,0.0,5.0,Grid Frequency Deviation,1.33,2018-02-23 07:40:00,2018-02-23 09:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
137,0.0,5.0,Momentary Grid Loss,0.33,2018-02-23 10:40:00,2018-02-23 11:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
138,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-02-23 12:00:00,2018-02-23 12:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
139,0.0,5.0,Grid Frequency Deviation,0.0,2018-02-24 08:40:00,2018-02-24 08:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
140,0.0,5.0,Momentary Grid Loss,0.0,2018-02-24 19:40:00,2018-02-24 19:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
141,0.0,5.0,Extended Grid Outage,5.0,2018-02-24 20:40:00,2018-02-25 01:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
142,0.0,5.0,Grid Frequency Deviation,1.67,2018-02-25 03:20:00,2018-02-25 05:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
143,0.0,5.0,Safety System Activation,2.0,2018-02-25 06:00:00,2018-02-25 08:00:00,Electrical - Emergency Response,Emergency Response Team,Unknown
144,0.0,5.0,Grid Voltage Fluctuation,0.5,2018-02-25 10:00:00,2018-02-25 10:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
145,0.0,5.0,Grid Frequency Deviation,1.17,2018-02-28 02:10:00,2018-02-28 03:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
146,0.0,5.0,Momentary Grid Loss,0.0,2018-02-28 04:40:00,2018-02-28 04:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
147,0.0,5.0,Emergency Brake Activation,3.83,2018-02-28 08:30:00,2018-02-28 12:20:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
148,0.0,5.0,Grid Frequency Deviation,1.33,2018-02-28 21:30:00,2018-02-28 22:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
149,0.0,5.0,Safety System Activation,2.17,2018-03-01 00:10:00,2018-03-01 02:20:00,Electrical - Emergency Response,Emergency Response Team,Unknown
150,0.0,5.0,Main Controller Fault,10.0,2018-03-01 04:40:00,2018-03-01 14:40:00,Software & Controls,SCADA & Controls Team,Unknown
151,0.0,5.0,Grid Frequency Deviation,0.5,2018-03-01 19:30:00,2018-03-01 20:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
152,0.0,5.0,Safety System Activation,2.0,2018-03-01 22:30:00,2018-03-02 00:30:00,Electrical - Emergency Response,Emergency Response Team,Unknown
153,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-03-02 03:50:00,2018-03-02 03:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
154,0.0,5.0,Overspeed Protection Triggered,3.33,2018-03-02 09:20:00,2018-03-02 12:40:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
155,0.0,5.0,Safety System Activation,2.17,2018-03-02 19:30:00,2018-03-02 21:40:00,Electrical - Emergency Response,Emergency Response Team,Unknown
156,0.0,5.0,Grid Voltage Fluctuation,1.5,2018-03-02 22:50:00,2018-03-03 00:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
157,0.0,5.0,Grid Frequency Deviation,1.0,2018-03-03 02:30:00,2018-03-03 03:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
158,0.0,5.0,Momentary Grid Loss,0.0,2018-03-03 04:40:00,2018-03-03 04:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
159,0.0,5.0,Grid Voltage Fluctuation,0.33,2018-03-03 08:30:00,2018-03-03 08:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
160,0.0,5.0,Grid Frequency Deviation,1.67,2018-03-03 10:40:00,2018-03-03 12:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
161,0.0,5.0,Safety System Activation,2.0,2018-03-03 19:10:00,2018-03-03 21:10:00,Electrical - Emergency Response,Emergency Response Team,Unknown
162,0.0,5.0,Main Controller Fault,5.83,2018-03-04 04:30:00,2018-03-04 10:20:00,Software & Controls,SCADA & Controls Team,Unknown
163,0.0,5.0,Grid Frequency Deviation,0.33,2018-03-04 12:00:00,2018-03-04 12:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
164,0.0,5.0,Momentary Grid Loss,0.0,2018-03-04 13:40:00,2018-03-04 13:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
165,0.0,5.0,Grid Voltage Fluctuation,0.0,2018-03-06 06:20:00,2018-03-06 06:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
166,0.0,5.0,Grid Frequency Deviation,0.33,2018-03-06 11:10:00,2018-03-06 11:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
167,0.0,5.0,Momentary Grid Loss,0.5,2018-03-07 03:50:00,2018-03-07 04:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
168,0.0,5.0,Grid Voltage Fluctuation,0.83,2018-03-07 21:30:00,2018-03-07 22:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
169,0.0,5.0,Grid Frequency Deviation,0.17,2018-03-08 02:20:00,2018-03-08 02:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
170,0.0,5.0,Momentary Grid Loss,1.67,2018-03-08 03:30:00,2018-03-08 05:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
171,0.0,5.0,Grid Voltage Fluctuation,1.67,2018-03-08 06:20:00,2018-03-08 08:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
172,0.0,5.0,Overspeed Protection Triggered,3.5,2018-03-08 09:20:00,2018-03-08 12:50:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
173,0.0,5.0,Momentary Grid Loss,0.5,2018-03-08 14:20:00,2018-03-08 14:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
174,0.0,5.0,Grid Voltage Fluctuation,0.33,2018-03-08 19:00:00,2018-03-08 19:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
175,0.0,5.0,Extended Grid Outage,6.5,2018-03-08 20:30:00,2018-03-09 03:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
176,0.0,5.0,Momentary Grid Loss,0.0,2018-03-09 04:00:00,2018-03-09 04:00:00,Grid Operations & Connectivity,Grid Management Team,Unknown
177,0.0,5.0,Emergency Brake Activation,3.17,2018-03-09 05:00:00,2018-03-09 08:10:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
